Topic,NDCG@10,NDCG@50,KendallTau@50,MRR@10,Variant
Dream,0.981380062564362,0.9803243781797659,0.4476190476190477,1.0,完整模型
Hair,0.8916726757991119,0.8891371919370354,0.4269005847953216,1.0,完整模型
Dream,0.981380062564362,0.9802916725748946,0.4476190476190477,1.0,无对比学习
Hair,0.8916726757991119,0.8893229707591556,0.43859649122807015,1.0,无对比学习
Dream,0.981380062564362,0.9805135140462303,0.5,1.0,无门控融合
Hair,0.8916726757991119,0.8890894162641273,0.4269005847953216,1.0,无门控融合
Dream,0.981380062564362,0.9802553211770684,0.4476190476190477,1.0,无多模态解耦
Hair,0.8916726757991119,0.889053999592006,0.4152046783625731,1.0,无多模态解耦
