Dataset,P@5,P@10,NDCG@5,NDCG@10,Gini,Robustness,Ablation,Topic,Mode
Dream_full,0.6,0.6,0.9911666577041925,0.9813800624064672,0.20988299226809845,0.9499999999999998,完整模型,Dream,full
Hair_full,0.4,0.6,0.8893313244221689,0.8916726753481355,0.25032048782752025,0.9349999999999998,完整模型,Hair,full
Dream_no_cl,0.6,0.6,0.9911666577041925,0.9813800624064672,0.20979241310737037,0.9499999999999998,无对比学习,Dream,no_cl
Hair_no_cl,0.4,0.6,0.8893313244221689,0.8916726753481355,0.2500566308538523,0.9349999999999998,无对比学习,Hair,no_cl
Dream_no_gate,0.6,0.6,0.9911666577041925,0.9813800624064672,0.20990474976082923,0.9499999999999998,无门控融合,Dream,no_gate
Hair_no_gate,0.4,0.6,0.8893313244221689,0.8916726753481355,0.2503602712074023,0.9349999999999998,无门控融合,Hair,no_gate
Dream_no_decouple,0.6,0.6,0.9911666577041925,0.9813800624064672,0.20989623087418185,0.9499999999999998,无多模态解耦,Dream,no_decouple
Hair_no_decouple,0.4,0.6,0.8893313244221689,0.8916726753481355,0.2503378928806433,0.9349999999999998,无多模态解耦,Hair,no_decouple
